"Business Name","Owner Name","Email","Phone","City","County","State","Type","Website","Has Email","Outreach Channel","Subject","Body","Notes"
"Miss Meticulous Cleans","Katrina","missmeticulouscleans@gmail.com","(239) 464-0205","Estero","Lee","FL","Residential","https://missmeticulouscleans.com/","Yes","Email","Running a cleaning company in Estero — 2-minute ask","Hi Katrina,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Estero and Lee County because I want real feedback from people who actually run the routes, not a focus group.

Twenty-five years serving SWFL homes — plus home watch and organization — is a different rhythm than a franchise. That's the perspective I'm after.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Owner Katrina Hart; Estero/Naples residential; eco products; home watch"
"Naples King of Klean LLC","Gary","napleskingofklean2@gmail.com","(239) 436-3737","Naples","Collier","FL","Both","https://napleskingofklean.com/","Yes","Email","Quick question for Naples King of Klean","Hi Gary,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Naples and Collier County because I want real feedback from people who actually run the routes, not a focus group.

Thirty-plus years on floor care and janitorial across Collier and Lee — coordinating crews and specialty jobs is exactly the workflow we're trying to support.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Owners Gary & Maria; carpet/tile/janitorial; Collier + Lee"
"Beyond Neat Cleaning Services","Unknown","","(239) 580-6484","Naples","Collier","FL","Both","https://beyondneat.com/","No","Website form","","","No public email; contact form + phone; Naples/Bonita/Estero/Marco"
"eMaids of Lee County","Unknown","contact@emaidsofleecounty.com","(239) 237-3790","Fort Myers","Lee","FL","Both","https://emaidsofleecounty.com/","Yes","Email","Not a sales pitch — feedback ask for eMaids of Lee County","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and Lee County because I want real feedback from people who actually run the routes, not a focus group.

You're branded around Lee County specifically — I'd value hearing how you keep residential and commercial schedules straight without drowning in admin.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Public contact email; Lee County focus"
"Delicate Cleaning Company","Unknown","delicatecleaningcompany@gmail.com","(239) 255-3764","Naples","Collier","FL","Both","https://delicatecleaningcompany.com/","Yes","Email","Quick question for Delicate Cleaning Company","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Naples and Collier County because I want real feedback from people who actually run the routes, not a focus group.

Local Naples cleaning with a public contact line — curious whether a scheduling tool would help or just get in the way of how you already run jobs.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Email/phone from public listings; site intermittently blocked"
"M&M Carpet & Tile Care","Unknown","mandmcarpetandtile@gmail.com","(754) 246-3151","Fort Myers","Lee","FL","Both","https://mmcarpetandtilecare.com/","Yes","Email","Running a cleaning company in Fort Myers — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Fort Myers and across Lee, Collier, and Charlotte because I want real feedback from people who actually run the routes, not a focus group.

You're covering carpet, tile, and commercial jobs from Fort Myers through Port Charlotte — multi-county specialty work is a scheduling headache I'd like to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Specialty floor/upholstery; serves Fort Myers–Cape Coral–Naples–Port Charlotte"
"Florida Veteran Cleaning","Unknown","info@floridaveterancleaning.com","(941) 844-9444","Punta Gorda","Charlotte","FL","Both","https://floridaveterancleaning.com/","Yes","Email","Running a cleaning company in Punta Gorda — 2-minute ask","Hi there,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Punta Gorda and Charlotte County because I want real feedback from people who actually run the routes, not a focus group.

You're on Charlotte County's vendor list out of Punta Gorda — local operator feedback from that market matters a lot to us.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Charlotte County facilities vendor list; Punta Gorda HQ"
"Maria Calichs Cleaning Services LLC","Maria","mccleaningsvc@gmail.com","(717) 495-6513","Port Charlotte","Charlotte","FL","Residential","","Yes","Email","Not a sales pitch — feedback ask for Maria Calichs Cleaning Services","Hi Maria,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Port Charlotte and Charlotte County because I want real feedback from people who actually run the routes, not a focus group.

Your name is on the LLC and you're listed with Charlotte County — owner-operated shops like yours are exactly who we're trying to learn from.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Charlotte County vendor list; Port Charlotte address"
"Wright Touch Clean Enterprise LLC","Amy","misswright_amy@icloud.com","(941) 327-6922","Port Charlotte","Charlotte","FL","Residential","","Yes","Email","Quick question for Wright Touch Clean","Hi Amy,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Port Charlotte and Charlotte County because I want real feedback from people who actually run the routes, not a focus group.

Small owner-led cleaning out of Port Charlotte — I'd value a blunt take on whether scheduling software helps or just adds noise.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Charlotte County vendor list; Amy Wright"
"Karly Jordan Organized and Clean, LLC","Karly","karlyjordanorganizer@gmail.com","(941) 204-9382","Punta Gorda","Charlotte","FL","Residential","","Yes","Email","Running a cleaning company in Punta Gorda — 2-minute ask","Hi Karly,

I know your inbox is full, so I'll keep this short.

I'm Chris Kendig with Clean Scheduler. We're building scheduling software specifically for residential and commercial cleaning companies — crew schedules, quotes, payments, the day-to-day stuff that usually lives in texts, spreadsheets, and sticky notes. I'm reaching out to owner-operated shops in Punta Gorda and Charlotte County because I want real feedback from people who actually run the routes, not a focus group.

Organizing plus cleaning is a different booking rhythm than straight maid service — that's a workflow I'd love your honest take on.

Would you be open to trying Clean Scheduler for a short stretch and telling me what works and what doesn't? No pitch deck, no hard sell — just your honest take. If after that you decide to stick with it, I'll lock in 10% off your subscription for life on any plan. That offer is my way of saying thank you for the time and the feedback.

If now's a bad time, a one-line ""not interested"" is totally fine. If you're curious, reply to this email or call/text me at (630) 335-7492 and I'll get you set up.","Charlotte County vendor list; organizing + cleaning"
